Departamento,Latitud,Longitud,Región
Amazonas,-1.4426,-71.5724,Amazónica
Antioquia,6.2711,-75.5666,Andina
Arauca,7.084,-70.7597,Orinoquía
Atlántico,10.6842,-74.9597,Caribe
Bogotá DC,4.6097,-74.0817,Andina
Bolívar,10.2757,-75.4105,Caribe
Boyacá,5.4545,-73.362,Andina
Caldas,5.2983,-75.2479,Andina
Caquetá,0.8699,-73.8412,Amazónica
Casanare,5.7589,-71.5724,Orinoquía
Cauca,2.5731,-76.7674,Pacífica
Cesar,9.337,-73.6532,Caribe
Chocó,5.6906,-76.6498,Pacífica
Cundinamarca,8.8281,-75.6814,Andina
Córdoba,4.5209,-74.4084,Caribe
Guainía,3.4216,-67.3496,Amazónica
Guaviare,1.7282,-72.8234,Amazónica
Huila,2.9377,-75.3135,Andina
La Guajira,11.3635,-72.4163,Caribe
Magdalena,10.5919,-74.2250,Caribe
Meta,3.254,-73.9702,Orinoquía
Nariño,1.34,-77.3392,Pacífica
Norte De Santander,7.9461,-72.8988,Andina
Putumayo,0.4488,-75.3524,Amazónica
Quindío,4.461,-75.6674,Andina
Risaralda,5.3264,-75.6819,Andina
San Andrés Providencia y Santa Catalina,12.5831,-81.7005,Caribe
Santander,6.5718,-73.1557,Andina
Sucre,9.235,-75.0106,Caribe
Tolima,4.1282,-75.1209,Andina
Valle del Cauca,3.8009,-76.6413,Pacífica
Vaupés,0.7552,-70.812,Amazónica
Vichada,4.935,-69.2646,Orinoquía
