Identificacion,Disciplinarias,Contractuales,Fiscales
0,0,0,1
6,0,0,0
8,0,0,0
14,0,0,0
16,0,0,0
41,0,0,0
76,0,0,0
94,0,0,0
134,0,0,0
141,0,0,0
288,0,0,0
348,0,0,0
461,0,0,0
811,0,0,0
822,0,0,0
830,0,0,0
900,0,0,0
938,0,0,0
1084,0,0,0
1131,0,0,0
5084,0,0,0
10305,0,0,0
13617,0,0,0
17338,0,0,0
31232,0,0,0
38346,0,0,0
90081,0,0,0
176366,0,0,0
176817,0,0,0
177102,0,0,0
178616,0,0,0
179083,0,0,0
182133,0,0,0
186955,0,0,0
190590,0,0,0
190648,0,0,0
190790,0,0,0
192002,0,0,0
192423,0,0,0
193474,0,0,0
194133,0,0,0
195423,0,0,0
195459,0,0,0
196859,0,0,0
210708,0,0,0
218411,0,0,0
236149,0,0,0
261682,0,0,0
276506,0,0,0
287795,0,0,0
304999,0,0,0
315378,0,0,0
316812,0,0,0
320343,0,0,0
332859,0,0,0
334595,0,0,0
346347,0,0,0
348397,0,0,0
351757,0,0,0
351758,0,0,0
351835,0,0,0
353528,0,0,0
356145,0,0,0
359935,0,0,0
385446,0,0,0
386011,0,0,0
386446,0,0,0
392997,0,0,0
396037,0,0,0
396738,0,0,0
397213,0,0,0
401241,0,0,0
406440,0,0,0
410743,0,0,0
413934,0,0,0
425557,0,0,0
436000,0,0,0
447394,0,0,0
466882,0,0,0
479748,0,0,0
479810,0,0,0
497120,0,0,0
521063,0,0,0
537797,0,0,0
539841,0,0,0
562585,0,0,0
569549,0,0,0
585440,0,0,0
629321,0,0,0
664465,0,0,0
750834,0,0,0
779049,0,0,0
814269,0,0,0
841568,0,0,0
863724,0,0,0
900497,0,0,0
901230,0,0,0
917698,0,0,0
920278,0,0,0
940922,0,0,0
968132,0,0,0
977546,0,0,0
984000,0,0,0
996823,0,0,0
999999,0,0,0
1004540,0,0,0
1007364,0,0,0
1007553,0,0,0
1007690,0,0,0
1025381,0,0,0
1028976,0,0,0
1035312,0,0,0
1037400,0,0,0
1039048,0,0,0
1045574,0,0,0
1052666,0,0,0
1053817,0,0,0
1058048,0,0,0
1061146,0,0,0
1061688,0,0,0
1061751,0,0,0
1061819,0,0,0
1068693,0,0,0
1071328,0,0,0
1075228,0,0,0
1081555,0,0,0
1082352,0,0,0
1094712,0,0,0
1098119,0,0,0
1098232,0,0,0
1106510,0,0,0
1111111,0,0,0
1114342,0,0,0
1114369,0,0,0
1116916,0,0,0
1117287,0,0,0
1117394,0,0,0
1120028,0,0,0
1121845,0,0,0
1123524,0,0,0
1124229,0,0,0
1125080,0,0,0
1129511,0,0,0
1129548,0,0,0
1129923,0,0,0
1144096,0,0,0
